asin,avg_rating,num_reviews,price,title_y,features,os,color
B004PANKIA,5.0,1,,"FusionTech ABC 15 Laptop - High-Octane Entertainment- Genuine Windows 7 Home Premium, 64bit, Intel Core i5-460M (2.53GHz),NVIDIA GeForce GT 420M 1GB , 4 GB DDR3, 500 GB HD,Silver Anodized Aluminum 15.6"" HD (720p) WLED Display with 2.0 MP webcam,8X Tray Load CD/DVD Burner (Dual Layer DVD+/-R Drive), Wireless-N 1000 Wireless","[Genuine Windows 7 Home Premium, 64bit, Intel Core i5-460M (2.53GHz),NVIDIA GeForce GT 420M 1GB, 4 GB DDR3, 500 GB HD,Silver Anodized Aluminum 15.6"" HD (720p) WLED Display with 2.0 MP webcam, 8X Tray Load CD/DVD Burner (Dual Layer DVD+/-R Drive), Wireless-N 1000 Wireless]",Windows 7;,Silver
B0052F35I2,3.75,12,,"FusionTech ABC 17 Laptop, i7-2630QM, 8GB DDR3 Memory, 17.3in FHD WLED AG (1920x1080) Screen, NVIDIA GeForce GT 555M 3GB graphics with Optimus, 500GB HARD DRIVE 7200 RPM Hard Drive,","[Intel Core i7 Processor 2GHz, 6GB DDR3 RAM, 640GB 7200RPM Hard Drive, 17.3-Inch Screen, GeForce GT, Microsoft Windows 7 Home Premium]",Windows 7,
B0057CAGUA,5.0,1,,"FusionTech Worktop 17R i17R Core i5-2430M 2.4GHz / 640GB / 6GB / 17.3"" Truelife / DVD-RW / BlueTooth / NVIDIA GeForce GT 525M 1GB Graphics Card / Windows 7 Home Premium 64-bit Webcam",[],Microsoft Windows 7 Home Premium (64 bit),Red
B005SDDXF8,4.333333333333333,6,,"FusionTech ABC 15 L502X Intel Core i5-2410, 2.3GHz | 6GB DDR3 | 750GB | NVIDIA GeForce GT 525M 1GB | Windows 7","[2nd generation Intel Core i5-2 410M processor 2.30 GHz with Turbo Boost 2.0 up to 2.90 GHz, 15.6HD TLF WLED LCD, NVIDIA GeForce GT 525M 1GB graphics with Optimus, 6GB DDR3, 750 GB HDD, Bluray Disc BD-Combo, Windows 7 Home Premium (64-bit)]",Windows 7 Home Premium (64-bit),
B0081YPX3Q,2.642857142857143,14,,"FusionTech ABC15-9375sLV 15-Inch Laptop (2.1 GHz Intel Core i7-3612QM Processor, 8GB DIMM, 750GB HDD, 32GB SSD, NVIDIA GeForce GT 640M, Windows 7 Home Premium) Silver [Discontinued By Manufacturer]","[Intel Core i7 3612QM Processor 2.1GHz, 8 GB DIMM RAM, 750GB 7200 rpm SATA HDD and 32GB mSATA SSD, 15-Inch Screen, Windows 7 Home Premium 64-bit]",Windows 7,Silver
B0081ZDX7S,2.75,4,,"FusionTech ABC15-9168sLV 15-Inch Laptop (2.5 GHz Intel Core i5-3210M Processor, 6GB DIMM, 500GB HDD, 32GB SSD, NVIDIA GeForce GT 630M, Windows 7 Home Premium) Silver [Discontinued By Manufacturer]","[Intel Core i5-3210M 2.50 1G 2.50 GHz, 6 GB DIMM, 500GB 7200 rpm SATA HDD and 32GB mSATA SSD, 15-Inch Screen, Windows 7 Home Premium 64-bit]",Windows 7,Silver
B0089PHR2M,4.4,5,,"FusionTech Worktop 15R i15RN 5297BK 15-Inch Laptop i7 2670QM 6GB RAM, 750GB HHD, Nvidia GeForceGT 525M 1GB (Diamond Black)",[],Windows 7 Home Premium,
B00ANG3T1S,3.12,25,399.99,"FusionTech ABC14-1909sLV Ultrabook Intel Core i5-3337U (1.80 GHz) 4GB memory 500GB HDD with 32GB SSD NVIDIA GeForce GT-630M 1GB 14"" Windows 8, Silver Anodized Aluminum","[3rd Generation Intel Core i5-3337U Processor (3M Cache, up to 2.7 GHz), 4 GB DDR3 RAM, 500 GB 5400 rpm Hard Drive + 32GB SSD, 14.0"" HD+ 900p True Life Infinity Display with Skype-Certified Hi-Def Webcam, NVIDIA GeForce GT 630M 1GB dedicated graphic, Bluetooth 4.0, 2 x USB 3.0, 1 x Mini DisplayPort, 1 x HDMI, 3-in-1 card reader, weights 4.6 lbs]",Windows 8,Silver Anodized Aluminum
B00BFVZ11Q,2.6666666666666665,3,,FusionTech - Worktop 17R-5720 - Intel Quad-Core i7-3632QM 2.20GHz - 8GB RAM - 1TB HDD - DVDRW - Nvidia GeForce GT 630M 1GB - 17.3-inch (1600x900),"[3rd Generation Intel Core i7-3632QM Processor (Quad-Core, 2.2GHz, 6MB Cache), 8 GB DDR3 RAM, 1 TB Hard Drive, 1GB NVIDIA GeForce GT 630M Graphics with Optimus Technology, 17.3"" HD Widescreen Display]",Windows 8,Moon Silver
B00CN35ST0,4.0,7,,"FusionTech Worktop 17R 7720 Special Edition Laptop i17Rse-1155ALU Aluminum - 17.3"" Full HD 1080p LED Display with Anti-Glare/i7-3630QM (2.40GHz)/8.0GB DDR3/1TB HDD+32GB SSD/Nvidia GeForce GT 650M 2GB/HD WebCam/Backlid keyboard/Windows 8 Home 64-bit","[17.3"" Full High Definition (1080p) LED Display with Anti-Glare, 3rd Generation Intel Core i7-3630QM (6MB cache, up to 3.4Ghz), 8GB Dual Channel DDR3 SDRAM at 1600MHz, 1TB 5400RPM SATA HDD + 32GB mSATA SSD w/ Intel Smart Response, 8 x DVD+/-RW, NVIDIA GeForce GT 650M GDDR5 2GB, 6 cell battery, 1MP HD Webcam]",Windows 8,
B00ETS4DQ6,5.0,1,,"FusionTech Worktop 17R 7720 3D Special Edition Laptop i17Rse-1795ALU Aluminum - 17.3"" 3D Full HD 1080p LED Display with Truelife/i7-3630QM (2.40GHz)/8.0GB DDR3/1TB HDD+32GB SSD/Nvidia GeForce GT 650M 2GB/Blu-ray Disc (BD) Combo/HD WebCam/Backlid keyboard/Windows 8 Home Premium 64-bit","[17.3"" 3D vFull High Definition (1080p) LED Display with Truelife, 3rd Generation Intel Core i7-3630QM (6MB cache, up to 3.4Ghz), 8GB Dual Channel DDR3 SDRAM at 1600MHz, 1TB 5400RPM SATA HDD + 32GB mSATA SSD w/ Intel Smart Response, Blu-ray Disc (BD) Combo (Reads BD and Writes to DVD/CD), NVIDIA GeForce GT 650M GDDR5 2GB, 6 cell battery, 1MP HD Webcam]",Windows 8,
